CURIE	Label	Parent	Definition	Definition's database cross reference	Equivalent class	Comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	creation date	created by	contributor
ELMO:3620215	Subterranean freshwaters biome	ENVO:01001110	The subterranean freshwaters biome is a biome that includes streams, small lakes and aquifers beneath the earth’s surface and potentially has the largest volume of water of all the freshwater biomes.	https://global-ecosystems.org/explore/biomes/SF1					SF1 Subterranean freshwaters biome							
ELMO:3620216	Anthropogenic subterranean freshwaters biome	ENVO:01001110	The anthropogenic subterranean freshwaters biome is a biome that includes aquatic systems in underground canals, drains, sewers, water pipes, and flooded mines constructed by humans. These are usually well connected to surface waters.	https://global-ecosystems.org/explore/biomes/SF2					SF2 Anthropogenic subterranean freshwaters biome							
ELMO:3620217	Palustrine wetlands biome	ENVO:01001110	The palustrine wetlands biome is a biome that includes vegetated floodplains, groundwater seeps, and mires with permanent or intermittent surface water. Although water and light are abundant at least periodically, saturation of the soil may result in oxygen deprivation below the ground. This suppresses microbial activity and, in many systems, production exceeds decomposition, resulting in peat accumulation.	https://global-ecosystems.org/explore/biomes/TF1					TF1 Palustrine wetlands biome							
ELMO:3620218	Rivers and streams biome	ENVO:01001110	The rivers and streams biome is a biome that includes lotic (running water) ecosystems, flowing from elevated uplands or underground springs to deltas, estuaries, and lakes. They are defined primarily by their linear structure, unidirectional flow regimes, and close interaction with the surrounding landscape.	https://global-ecosystems.org/explore/biomes/F1					F1 Rivers and streams biome							
ELMO:3620219	Lakes biome	ENVO:01001110	The lakes biome is a biome that includes lentic ecosystems defined by their still waters. They vary in area, depth, water regime, and connectivity to other aquatic systems across a global distribution.	https://global-ecosystems.org/explore/biomes/F2					F2 Lakes biome							
ELMO:3620220	Artificial wetlands biome	ENVO:01001110	The artificial wetlands biome is a biome that includes built structures that hold or transfer water for human use, treatment, or disposal, including large storage reservoirs, farm dams or ponds, recreational and ornamental wetlands, rice paddies, freshwater aquafarms, wastewater storages and treatment ponds, and canals, ditches and drains. 	https://global-ecosystems.org/explore/biomes/F3					F3 Artificial wetlands biome							
ELMO:3620221	Semi-confined transitional waters biome	ENVO:01001110	The semi-confined transitional waters biome is a biome that includes coastal inlets that are influenced by inputs of both fresh and marine water from terrestrial catchments and ocean tides, waves, and currents. They include deep-water coastal inlets or fjords mostly restricted to high latitudes, as well as estuaries, bays, and lagoons, which are scattered around coastlines throughout the world.	https://global-ecosystems.org/explore/biomes/FM1					FM1 Semi-confined transitional waters biome							
ELMO:3620222	Marine shelf biome	ENVO:01001110	The marine shelf biome is a biome that is distributed globally between the shoreline and deep sea-floor biomes and is dominated by benthic productivity. It includes ecosystems with biogenic substrates (such as seagrass meadows, kelp forests, oyster beds, and coral reefs) and minerogenic substrates including rocky reefs, sandy bottoms, and muddy bottoms.	https://global-ecosystems.org/explore/biomes/M1					M1 Marine shelf biome							
ELMO:3620223	Pelagic ocean waters biome	ENVO:01001110	The pelagic ocean waters biome is a biome that comprises the open-ocean water column across all latitudes.	https://global-ecosystems.org/explore/biomes/M2					M2 Pelagic ocean waters biome							
ELMO:3620224	Deep sea floors biome	ENVO:01001110	The deep sea floors biome is a biome that includes the entire oceanic benthos below ~250 m depth, where there is not enough light to support primary productivity through photosynthesis. It extends from the upper bathyal seafloor to the deepest parts of the ocean, at just under 11 km in the Mariana Trench.	https://global-ecosystems.org/explore/biomes/M3					M3 Deep sea floors biome							
ELMO:3620225	Anthropogenic marine biome	ENVO:01001110	The anthropogenic marine biome is a biome that includes constructed, deposited or dumped artificial structures in the oceans that either confine managed marine organisms or attract marine biota that would not otherwise occupy such locations.	https://global-ecosystems.org/explore/biomes/M4					M4 Anthropogenic marine biome							
ELMO:3620226	Shorelines biome	ENVO:01001110	The shorelines biome is a biome that includes naturally formed, intertidal abiogenic habitats situated at the interface between land and sea. The distribution of the biome spans all latitudes (temperate to polar) at which landmasses are present.	https://global-ecosystems.org/explore/biomes/MT1					MT1 Shorelines biome							
ELMO:3620227	Supralittoral coast biome	ENVO:01001110	The supralittoral coastal biome includes the landward extent of the transition from marine to terrestrial biomes. It is elevated above the direct influence of waves and tides (see the Shoreline biome) and beyond the direct influence of freshwater seepage or rivers (see brackish tidal biota). Supratidal coastal ecosystems extend around all the world’s land masses, occupying a fringe from tens of metres to a few kilometres wide and covering the entire extent of many small islands.	https://global-ecosystems.org/explore/biomes/MT2					MT2 Supralittoral coast biome							
ELMO:3620228	Anthropogenic shorelines biome	ENVO:01001110	The anthropogenic shorelines biome is a biome that is distributed globally where urbanised and industrial areas adjoin the coast, and includes some more remote structures such as artificial islands. It includes marine interfaces constructed from hard, smooth surfaces, including concrete, timber, lithic blocks, and earthen fill, adjoining, extending or replacing natural shores, or floating in proximity to them.	https://global-ecosystems.org/explore/biomes/MT3					MT3 Anthropogenic shorelines biome							
ELMO:3620229	Brackish tidal biome	ENVO:01001110	The brackish tidal biome is a biome that is associated with prograding depositional shorelines at the interface of terrestrial, freshwater, and marine realms. The relative influences of marine, freshwater, and terrestrial processes vary from strongly fluvial deltas to marine-dominated intertidal forests and terrestrial-dominated coastal saltmarsh.	https://global-ecosystems.org/explore/biomes/MFT1					MFT1 Brackish tidal biome							
ELMO:3620230	Tropical alpine grasslands and shrublands	ELMO:3620212		https://global-ecosystems.org/explore/groups/T6.5					T6.5 Tropical alpine grasslands and shrublands							
ELMO:3620231	Annual croplands	ELMO:3620213		https://global-ecosystems.org/explore/groups/T7.1					T7.1 Annual croplands							
ELMO:3620232	Constructed lacustrine wetlands	ELMO:3620220		https://global-ecosystems.org/explore/groups/F3.2					F3.2 Constructed lacustrine wetlands							
ELMO:3620233	Marine aquafarms	ELMO:3620225		https://global-ecosystems.org/explore/groups/M4.2					M4.2 Marine aquafarms							
ELMO:3620234	Subterranean lithic biome	ENVO:01001110	The subterranean lithic biome is a biome that includes non-aquatic lithic systems beneath the earth’s surface where sunlight is absent or of insufficient intensity to sustain photosynthesis.	https://global-ecosystems.org/explore/biomes/S1					S1 Subterranean lithic biome							
ELMO:3620235	biome	ENVO:01001110	An ecosystem delineated by broad features of structure and common major ecological drivers, typically global in scale.	https://global-ecosystems.org/page/typology												
